,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
83,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,High school or less,Hispanic,Female,$75-125k,rarely/never,55-65
84,Very Important,Very Important,Very Important,Not so important,Very Important,Not so important,Not so important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,College,White,Male,$125k or more,always,22-36
85,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,High school or less,White,Female,$75-125k,always,66-94
86,Very Important,Not so important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,College,White,Female,$125k or more,sporadic,37-54
87,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Some college,Other/Mixed,Female,$40-75k,always,55-65
88,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,White,Female,Less than $40k,sporadic,55-65
89,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Black,Male,$75-125k,always,66-94
91,Very Important,Very Important,Very Important,Not so important,Very Important,Not so important,Very Important,Very Important,Not so important,Not at all important,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,High school or less,White,Female,$40-75k,sporadic,66-94
92,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,College,White,Female,$125k or more,always,66-94
93,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,Less than $40k,sporadic,66-94
94,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Not so important,Very Important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Some college,White,Male,$40-75k,always,66-94
95,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,$125k or more,always,66-94
96,Somewhat important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,$40-75k,rarely/never,37-54
97,Very Important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,rarely/never,55-65
98,Not so important,Somewhat important,Not so important,Not so important,Very Important,Not so important,Very Important,Very Important,Very Important,Not so important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,College,Black,Male,$75-125k,rarely/never,22-36
99,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,Hispanic,Female,$125k or more,always,37-54
101,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Strongly disagree,Some college,White,Female,$125k or more,sporadic,55-65
102,Not at all important,Not at all important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,High school or less,White,Male,$40-75k,rarely/never,55-65
103,Very Important,Somewhat important,Somewhat important,Not at all important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,High school or less,Black,Male,Less than $40k,always,66-94
104,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Some college,Black,Female,$40-75k,always,66-94
105,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Not so important,Very Important,Not at all important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,Some college,White,Female,Less than $40k,sporadic,66-94
106,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$75-125k,sporadic,66-94
107,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,College,White,Male,$125k or more,always,66-94
