,Voting,Jury,Govt_Politics,American_Flag,US_Census,Pledge,Military Support,Respecting_Others,Believing in God,Protesting,Racism_US,Racism_Policing,Society_Whole,Mainstream_Media,Way_People_Talk,Q3_6,educ,race,gender,income_cat,voter_category,age_binned
4723,Very Important,Not so important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Not so important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Female,$75-125k,always,22-36
4724,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,College,White,Male,$40-75k,rarely/never,22-36
4726,Somewhat important,Very Important,Not so important,Not so important,Somewhat important,Not so important,Somewhat important,Very Important,Not so important,Very Important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Some college,White,Male,$75-125k,always,22-36
4727,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat important,Not so important,Not so important,Very Important,Not at all important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,College,White,Female,$40-75k,always,22-36
4728,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Not so important,Somewhat important,Not so important,Somewhat important,Not so important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$75-125k,sporadic,22-36
4729,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not so important,Not so important,Not so important,Not so important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,Other/Mixed,Male,$75-125k,rarely/never,22-36
4730,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Some college,Hispanic,Female,Less than $40k,always,22-36
4731,Very Important,Very Important,Very Important,Not at all important,Very Important,Not so important,Not so important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,College,White,Male,$75-125k,rarely/never,22-36
4732,Very Important,Very Important,Very Important,Not so important,Not so important,Not so important,Somewhat important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,College,White,Female,$40-75k,sporadic,22-36
4733,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,College,White,Female,$125k or more,sporadic,55-65
4734,Very Important,Somewhat important,Very Important,Not so important,Very Important,Not so important,Very Important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Some college,Black,Male,$75-125k,rarely/never,55-65
4735,Very Important,Somewhat important,Not so important,Not so important,Not so important,Not at all important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,High school or less,Black,Female,Less than $40k,sporadic,37-54
4736,Very Important,Not so important,Very Important,Not so important,Very Important,Not so important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Female,$125k or more,sporadic,66-94
4737,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Female,Less than $40k,rarely/never,66-94
4738,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not so important,Very Important,Very Important,Not so important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,College,Black,Female,$75-125k,always,37-54
4739,Very Important,Not so important,Very Important,Not at all important,Very Important,Not so important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Male,$75-125k,sporadic,37-54
4740,Very Important,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Not so important,Somewhat important,Strongly agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Male,$75-125k,always,37-54
4741,Somewhat important,Not so important,Not so important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,Black,Male,$40-75k,rarely/never,37-54
4742,Very Important,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Not so important,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,College,Black,Female,$125k or more,always,55-65
4743,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not so important,Not so important,Somewhat important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,College,White,Female,$125k or more,rarely/never,22-36
4744,Not at all important,Very Important,Not so important,Not so important,Very Important,Very Important,Not so important,Very Important,Very Important,Not so important,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Some college,Hispanic,Male,Less than $40k,rarely/never,55-65
4745,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Very Important,Somewhat important,Not at all important,Not so important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some college,White,Male,$75-125k,always,55-65
4746,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Some college,Hispanic,Male,Less than $40k,sporadic,66-94
4747,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,High school or less,White,Female,Less than $40k,sporadic,66-94
4748,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,High school or less,White,Female,$40-75k,sporadic,55-65
4749,Very Important,Somewhat important,Somewhat important,Not at all important,Very Important,Not at all important,Very Important,Not at all important,Somewhat important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,High school or less,Hispanic,Female,$125k or more,rarely/never,37-54
4750,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,High school or less,White,Female,$75-125k,rarely/never,37-54
4751,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,sporadic,66-94
4752,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,66-94
4753,Not so important,Not so important,Not so important,Not at all important,Not so important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,College,White,Female,$40-75k,rarely/never,22-36
4754,Very Important,Very Important,Very Important,Not at all important,Very Important,Not at all important,Very Important,Very Important,Very Important,Very Important,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,College,Black,Male,$40-75k,sporadic,37-54
4755,Very Important,Not at all important,Not at all important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,College,White,Male,Less than $40k,always,22-36
4757,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,High school or less,White,Female,Less than $40k,rarely/never,22-36
4758,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,White,Female,$40-75k,always,55-65
4759,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Some college,Hispanic,Male,$40-75k,always,66-94
4760,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Not at all important,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,High school or less,White,Female,Less than $40k,rarely/never,55-65
4761,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,High school or less,White,Female,$40-75k,rarely/never,37-54
4762,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,College,White,Male,$125k or more,sporadic,66-94
4763,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,Some college,Other/Mixed,Female,$40-75k,sporadic,55-65
4764,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly disagree,College,White,Male,$125k or more,rarely/never,37-54
4765,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Strongly agree,High school or less,Black,Male,$40-75k,sporadic,66-94
4766,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not at all important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Some college,White,Female,$75-125k,sporadic,37-54
4768,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Some college,White,Male,$40-75k,rarely/never,22-36
4769,Somewhat important,Not so important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not so important,Somewhat important,Not so important,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,High school or less,White,Male,$40-75k,rarely/never,22-36
4770,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,White,Female,Less than $40k,sporadic,55-65
4771,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,High school or less,Hispanic,Female,Less than $40k,rarely/never,22-36
4772,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Very Important,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,College,White,Female,$75-125k,sporadic,66-94
4773,Very Important,Somewhat important,Not so important,Not so important,Very Important,Somewhat important,Very Important,Not at all important,Not at all important,Not at all important,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Hispanic,Female,$125k or more,always,22-36
4774,Somewhat important,Not so important,Not at all important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Not at all important,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly disagree,Some college,White,Female,$40-75k,rarely/never,37-54
4775,Very Important,Not so important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Not so important,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,sporadic,37-54
4776,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,High school or less,White,Male,Less than $40k,rarely/never,66-94
4777,Very Important,Very Important,Somewhat important,Not at all important,Very Important,Not so important,Very Important,Not at all important,Not so important,Not at all important,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,College,Hispanic,Male,$125k or more,always,55-65
4778,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,College,White,Male,$40-75k,sporadic,37-54
4779,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Not so important,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Some college,White,Female,Less than $40k,sporadic,37-54
4780,Very Important,Very Important,Not so important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,College,Hispanic,Female,$75-125k,sporadic,37-54
4781,Very Important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Female,$40-75k,sporadic,66-94
4782,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,White,Male,$75-125k,always,55-65
4783,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not at all important,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,College,White,Female,$40-75k,always,66-94
4784,Very Important,Very Important,Very Important,Not at all important,Very Important,Not so important,Somewhat important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,College,White,Male,$125k or more,always,66-94
4786,Somewhat important,Not so important,Somewhat important,Not at all important,Somewhat important,Not so important,Somewhat important,Very Important,Somewhat important,Somewhat important,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,College,Black,Male,Less than $40k,sporadic,55-65
4787,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Not so important,Somewhat important,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Some college,White,Male,Less than $40k,sporadic,22-36
4788,Very Important,Not at all important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Not at all important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,College,Black,Female,$125k or more,always,37-54
4789,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Male,Less than $40k,sporadic,22-36
4790,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Some college,White,Female,$40-75k,sporadic,66-94
4791,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,Black,Male,$75-125k,always,37-54
4792,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,College,Hispanic,Female,$75-125k,rarely/never,37-54
4793,Very Important,Not so important,Very Important,Not so important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,High school or less,Hispanic,Female,Less than $40k,rarely/never,55-65
4794,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Some college,White,Male,$40-75k,rarely/never,66-94
4795,Very Important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,College,Black,Female,$40-75k,always,55-65
4796,Very Important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very Important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,College,Black,Female,$125k or more,sporadic,37-54
4797,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,College,Other/Mixed,Male,$125k or more,sporadic,66-94
4798,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Not so important,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,High school or less,Black,Male,Less than $40k,sporadic,55-65
4799,Very Important,Very Important,Somewhat important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,College,White,Male,$125k or more,always,55-65
4800,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not at all important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,College,White,Male,Less than $40k,sporadic,22-36
4801,Not so important,Somewhat important,Somewhat important,Not at all important,Very Important,Not at all important,Not so important,Very Important,Not so important,Not so important,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Some college,White,Female,Less than $40k,rarely/never,22-36
4802,Very Important,Very Important,Very Important,Not so important,Very Important,Not so important,Somewhat important,Very Important,Somewhat important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,Hispanic,Male,$75-125k,sporadic,37-54
4803,Very Important,Very Important,Somewhat important,Not so important,Very Important,Not so important,Somewhat important,Very Important,Not at all important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,College,White,Female,$125k or more,always,37-54
4804,Very Important,Not so important,Not so important,Somewhat important,Very Important,Somewhat important,Very Important,Somewhat important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Some college,White,Male,$75-125k,always,22-36
4805,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Some college,Hispanic,Female,$125k or more,sporadic,37-54
4806,Very Important,Not at all important,Not so important,Somewhat important,Somewhat important,Not so important,Somewhat important,Somewhat important,Very Important,Not at all important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,College,White,Female,$125k or more,sporadic,37-54
4807,Not so important,Very Important,Not at all important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,High school or less,Hispanic,Female,Less than $40k,rarely/never,55-65
4808,Very Important,Somewhat important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,sporadic,22-36
4809,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$125k or more,always,66-94
4810,Somewhat important,Not so important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Very Important,Somewhat important,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,High school or less,Black,Male,Less than $40k,rarely/never,37-54
4811,Very Important,Very Important,Very Important,Not at all important,Very Important,Not at all important,Not so important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,College,Other/Mixed,Male,$75-125k,sporadic,22-36
4812,Very Important,Somewhat important,Very Important,Not at all important,Very Important,Not so important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,College,White,Female,$75-125k,always,37-54
4813,Not so important,Not so important,Somewhat important,Very Important,Not so important,Very Important,Very Important,Somewhat important,Very Important,Somewhat important,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,High school or less,White,Female,Less than $40k,rarely/never,37-54
4814,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not at all important,Very Important,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Some college,Black,Female,$40-75k,always,66-94
4815,Very Important,Very Important,Not so important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Not so important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,College,White,Male,$40-75k,rarely/never,22-36
4816,Somewhat important,Not so important,Not so important,Somewhat important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Not so important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,High school or less,Hispanic,Female,$40-75k,sporadic,55-65
4817,Not so important,Somewhat important,Not so important,Somewhat important,Not so important,Somewhat important,Very Important,Somewhat important,Very Important,Not so important,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,High school or less,White,Male,$75-125k,rarely/never,37-54
4818,Very Important,Very Important,Somewhat important,Not so important,Very Important,Not so important,Very Important,Very Important,Not so important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,College,White,Female,$125k or more,sporadic,37-54
4819,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Some college,White,Female,$40-75k,sporadic,55-65
4820,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Not so important,Very Important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,High school or less,White,Male,$40-75k,sporadic,55-65
4822,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Very Important,Not so important,Not so important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,College,Hispanic,Male,$75-125k,always,22-36
4823,Somewhat important,Somewhat important,Not so important,Not so important,Very Important,Somewhat important,Somewhat important,Somewhat important,Not so important,Not so important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Some college,Other/Mixed,Male,$40-75k,rarely/never,37-54
4824,Very Important,Very Important,Very Important,Somewhat important,Very Important,Not so important,Very Important,Very Important,Not so important,Somewhat important,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Some college,White,Male,Less than $40k,always,22-36
4825,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,High school or less,Hispanic,Female,Less than $40k,sporadic,37-54
4826,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Some college,Hispanic,Male,$40-75k,sporadic,37-54
4827,Somewhat important,Not so important,Not so important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Somewhat important,Not at all important,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,College,White,Female,$75-125k,rarely/never,22-36
4828,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Strongly agree,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,College,White,Male,$75-125k,sporadic,37-54
4830,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,College,Hispanic,Male,$75-125k,always,66-94
4831,Somewhat important,Not so important,Somewhat important,Not so important,Somewhat important,Not so important,Not so important,Somewhat important,Not so important,Somewhat important,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,High school or less,Black,Female,Less than $40k,sporadic,22-36
4832,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Somewhat important,Somewhat important,Somewhat important,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,High school or less,White,Male,$75-125k,rarely/never,37-54
4833,Very Important,Very Important,Very Important,Somewhat important,Very Important,Very Important,Very Important,Very Important,Not so important,Very Important,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Some college,White,Male,$125k or more,always,55-65
4834,Very Important,Somewhat important,Somewhat important,Not so important,Very Important,Somewhat important,Very Important,Very Important,Not so important,Somewhat important,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly disagree,High school or less,White,Male,$75-125k,sporadic,37-54
